Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
38,1,0,10,3,1,3,0,3,2,2,4,1,1,0,13,2,0,1,3,3,1
20,0,0,2,3,3,3,0,2,1,3,3,1,1,1,13,4,0,3,2,2,0
34,0,1,2,4,0,4,1,2,2,5,1,0,6,1,13,2,1,3,3,9,5
36,0,0,1,2,0,2,1,3,2,2,4,0,1,0,14,4,1,1,2,14,4
49,0,1,16,3,3,4,0,3,1,4,1,2,4,0,16,2,1,2,2,2,2
40,0,1,2,1,3,4,0,2,1,1,4,1,0,0,20,4,0,2,2,2,2
40,0,1,4,1,3,4,0,3,5,0,3,0,1,1,14,2,1,2,3,8,9
51,0,1,7,4,3,2,1,2,2,5,3,0,2,1,17,3,0,2,3,0,0
60,0,0,7,4,2,2,1,4,2,2,4,2,0,0,18,2,1,3,3,7,1
31,0,1,2,4,0,3,1,3,1,1,4,2,0,0,18,2,1,2,1,2,2
38,2,1,23,3,0,4,1,2,3,5,3,1,0,1,21,2,0,2,3,7,1
27,0,1,17,4,0,4,0,3,1,1,3,1,1,0,13,4,0,2,3,2,7
29,0,1,7,3,0,4,1,3,1,4,1,1,3,1,14,2,0,2,3,2,1
60,2,0,28,3,2,3,0,2,3,2,1,0,4,1,19,4,0,5,4,13,13
38,0,1,1,3,0,3,0,3,3,5,3,1,4,0,14,4,0,4,4,0,0
31,0,1,9,1,0,3,1,3,3,5,2,2,1,1,25,4,1,6,4,8,0
36,0,1,9,2,3,2,1,2,2,5,2,2,2,0,11,3,1,2,3,2,0
34,0,0,4,3,0,3,1,3,3,2,4,0,2,0,13,4,3,3,3,3,1
37,2,0,21,2,3,3,0,3,1,3,4,0,5,1,15,2,1,3,3,4,0
29,0,1,1,2,0,2,0,2,1,4,1,0,1,0,11,4,1,1,3,0,0
27,0,0,2,2,3,1,0,4,2,2,3,1,0,1,14,2,0,5,2,7,0
29,0,0,5,3,3,1,1,2,2,2,2,2,1,0,13,2,1,3,2,0,0
34,2,1,1,3,3,4,1,2,2,8,1,1,0,1,20,3,0,3,3,9,4
35,0,1,18,5,0,2,1,4,2,1,1,0,1,1,11,4,0,2,3,15,1
25,0,0,26,1,3,3,0,3,2,2,4,1,1,1,23,2,0,5,2,5,1
60,0,1,7,3,0,1,0,3,5,0,1,0,5,1,11,4,0,5,1,8,11
36,1,0,8,4,1,1,1,3,2,2,4,2,4,1,13,4,2,3,3,7,0
27,0,1,3,4,3,1,1,2,1,1,4,1,0,1,13,4,0,0,3,2,1
24,0,1,17,1,3,4,0,2,2,5,3,2,1,1,15,2,2,6,3,2,3
21,1,0,9,2,3,1,1,3,1,3,4,1,1,1,24,3,0,3,2,2,2
33,2,0,7,3,3,4,1,3,2,2,1,0,0,1,14,1,2,2,3,3,0
32,2,1,24,4,0,1,1,3,2,4,4,0,1,1,15,4,2,2,3,8,4
34,0,1,2,4,3,3,0,2,1,1,1,1,1,1,11,3,0,3,3,5,1
40,1,1,9,4,5,3,1,3,2,4,3,2,3,1,11,3,2,2,4,7,0
34,0,1,8,2,3,2,0,3,2,8,3,1,3,1,11,4,0,2,3,1,4
33,0,1,13,1,0,2,0,3,1,1,4,1,3,1,18,1,0,4,3,2,0
46,0,0,3,1,2,1,1,3,4,0,3,0,3,1,12,4,1,3,3,9,4
27,2,1,5,2,0,4,0,3,1,4,4,1,0,0,14,3,0,3,2,4,0
44,0,1,4,2,0,3,1,4,5,0,1,2,1,1,14,4,2,4,2,9,14
46,0,1,21,2,3,4,0,3,2,8,2,0,4,1,22,4,1,2,4,7,3
53,1,1,1,4,3,1,0,2,4,5,3,0,4,0,20,4,3,2,2,2,0
35,1,1,2,4,0,4,0,3,2,8,1,2,2,1,11,1,1,2,4,0,0
31,2,1,15,3,3,3,1,3,1,4,3,0,1,1,12,3,1,5,2,2,2
41,0,1,6,3,3,4,1,3,1,4,1,1,2,0,13,3,0,3,3,13,2
48,0,1,4,3,0,4,1,3,3,5,4,1,1,1,11,3,0,2,3,9,0
31,2,0,26,4,2,1,1,3,2,2,4,0,1,0,11,3,0,4,3,7,0
28,1,1,1,3,0,3,0,1,2,4,4,0,0,1,11,1,3,6,3,8,7
31,0,1,2,1,3,4,0,1,1,4,4,2,1,0,11,3,3,4,3,0,0
49,0,1,7,4,0,3,1,3,3,8,2,2,3,1,14,2,2,3,3,7,0
36,2,1,6,4,0,1,1,4,2,4,1,0,3,0,13,4,1,3,3,2,0
28,1,2,1,2,0,3,1,3,1,6,4,2,1,1,15,2,1,2,3,2,2
42,0,1,1,2,0,4,0,2,2,5,4,0,9,0,13,4,1,4,3,3,0
31,2,1,29,2,3,3,1,2,1,4,2,1,0,1,11,2,0,2,4,4,1
56,2,0,6,3,0,3,0,4,4,2,1,0,9,1,11,4,3,0,2,7,7
38,0,1,1,4,0,2,0,4,2,8,4,1,0,1,13,3,0,4,2,7,1
36,0,1,12,5,3,4,0,2,3,5,4,1,0,1,11,2,0,2,2,8,7
40,0,0,25,4,2,4,1,2,3,2,2,1,2,0,12,3,0,2,3,4,1
39,2,1,2,4,1,3,0,3,3,8,3,1,0,1,25,4,0,1,3,6,11
37,0,0,2,3,2,4,1,3,2,2,3,0,4,0,11,3,1,3,2,0,1
45,2,1,7,4,0,1,1,4,2,5,3,0,4,1,17,4,1,1,3,2,0
35,0,1,21,1,0,4,0,3,2,8,4,0,1,0,25,4,1,2,1,6,0
37,0,0,10,4,0,4,0,2,2,2,4,2,2,0,14,3,3,5,3,0,0
47,0,2,26,4,0,4,0,3,5,0,3,0,3,1,11,3,1,2,3,2,1
29,2,0,24,3,1,3,1,4,1,3,1,1,1,1,17,4,0,3,3,0,0
50,0,1,17,5,0,4,0,2,3,7,1,2,5,1,15,3,3,3,3,11,1
27,0,0,10,3,2,4,0,2,2,2,4,0,1,0,11,4,0,3,3,2,4
34,0,0,1,4,2,2,1,4,2,2,4,2,0,1,11,4,1,2,2,1,0
35,0,1,23,4,3,2,1,1,1,4,3,0,0,1,16,2,1,2,4,4,0
53,0,0,8,3,2,1,1,3,4,2,4,0,5,1,14,3,1,3,3,0,2
47,2,0,9,3,0,3,1,1,4,2,3,0,7,1,11,3,0,3,1,5,14
26,2,1,1,1,3,1,0,2,1,1,3,2,1,1,13,3,2,5,3,3,1
29,0,1,8,1,3,2,1,2,2,5,4,0,1,0,15,3,1,2,2,7,1
20,0,1,4,3,1,1,1,3,1,4,1,1,1,1,19,2,0,2,3,0,0
37,0,1,1,3,1,2,0,3,3,5,4,1,4,1,17,4,0,3,4,5,1
42,2,1,9,2,3,1,0,3,1,4,4,1,1,1,13,3,0,3,3,9,5
40,2,1,16,4,3,1,1,2,2,4,3,1,6,1,14,4,0,6,3,0,0
41,1,0,10,2,0,4,1,3,2,2,4,1,7,1,14,4,0,3,3,3,1
52,2,1,28,2,3,4,0,4,4,5,3,0,2,0,11,2,1,3,2,3,0
29,0,0,9,3,2,2,0,1,1,3,2,1,1,1,13,3,0,3,3,2,2
33,1,1,1,2,3,2,1,2,1,4,3,2,1,1,12,3,3,2,2,1,0
45,1,1,2,2,3,1,1,2,4,0,4,0,9,1,23,4,1,1,3,8,11
39,0,1,1,4,3,3,0,3,1,4,3,2,7,1,14,3,3,1,3,2,1
40,0,1,2,2,0,3,0,3,1,4,1,0,4,1,17,4,1,5,2,3,0
35,0,0,3,4,0,4,1,3,3,2,4,2,6,1,13,2,1,2,3,9,0
24,0,1,1,2,0,2,1,2,2,8,3,1,1,1,12,2,0,2,2,3,1
49,0,1,5,4,1,1,1,3,2,8,3,0,2,1,14,2,1,0,2,2,1
35,0,1,8,1,0,4,1,4,1,4,4,0,1,1,19,4,0,2,3,0,0
26,0,1,2,2,3,4,1,4,2,5,4,0,1,1,12,2,0,2,3,7,1
33,0,1,10,1,3,1,1,1,1,4,4,2,7,1,13,1,3,2,3,3,1
55,0,1,2,3,3,4,1,3,5,0,1,0,5,0,13,4,1,2,3,2,1
31,1,1,3,2,3,3,1,3,1,1,1,2,1,0,13,4,1,3,4,2,2
32,0,0,2,1,2,3,1,3,2,2,2,0,0,0,13,1,3,3,2,2,1
24,0,1,24,3,3,4,1,3,1,4,2,1,8,1,22,4,0,2,3,3,1
50,0,0,8,4,2,4,1,3,1,3,2,0,7,1,15,4,1,2,3,2,2
45,0,1,6,4,5,4,1,3,3,7,1,0,4,0,14,2,0,3,4,0,0
50,2,0,1,4,5,4,1,3,2,2,3,1,3,0,14,4,0,4,3,0,0
35,0,1,16,3,0,4,1,3,3,8,3,0,4,0,12,3,0,2,3,7,0
30,2,1,1,2,3,3,0,3,2,4,4,1,1,1,23,4,0,2,3,8,3
32,0,1,2,4,0,4,1,3,1,4,2,1,1,1,12,1,0,2,3,0,0
30,0,0,7,4,2,4,0,3,2,2,1,2,7,1,14,2,2,3,3,2,0
44,0,2,1,2,3,2,1,2,3,6,1,0,9,1,14,4,1,1,3,6,3
41,0,0,2,4,0,4,1,3,4,0,2,1,1,1,19,2,0,2,3,10,0
34,1,0,10,3,0,4,1,3,2,2,3,2,1,0,14,3,1,3,3,14,0
37,0,1,13,3,3,1,1,3,2,1,4,0,1,1,17,1,0,2,3,8,3
35,0,1,22,3,0,2,0,4,3,0,2,2,7,1,18,2,1,6,2,7,6
27,0,1,4,3,0,2,0,3,1,1,3,1,1,1,19,3,0,2,3,1,0
30,0,0,12,3,1,2,0,3,2,2,3,1,0,1,11,2,0,6,3,4,4
36,0,1,6,3,0,4,1,3,1,4,4,0,0,1,11,3,1,4,3,13,10
18,1,1,8,1,3,3,1,3,1,4,3,1,1,1,12,4,0,0,3,0,0
34,0,0,14,3,1,3,0,3,1,3,3,2,1,0,18,4,2,3,3,2,0
44,0,1,2,1,0,1,0,4,1,1,4,0,1,1,13,4,1,5,3,5,7
43,0,1,27,3,1,4,1,4,1,4,2,2,5,1,12,3,1,0,3,4,0
55,0,1,20,2,1,2,1,3,2,4,4,0,3,0,19,4,1,4,3,7,0
35,2,1,18,2,0,3,1,3,3,5,4,1,2,1,11,3,0,2,3,2,2
36,1,1,18,4,0,1,1,3,2,5,4,1,2,1,20,1,0,0,3,9,0
31,0,1,1,2,0,4,1,2,1,4,1,0,1,1,12,3,1,3,3,2,3
40,1,0,28,3,5,3,1,1,3,2,1,2,3,1,15,3,1,2,3,0,0
52,0,1,3,3,3,4,1,2,3,5,3,0,2,0,14,3,0,4,3,4,0
33,0,1,7,3,3,3,1,3,3,7,3,0,0,1,11,4,0,3,4,9,3
30,0,0,5,3,2,4,0,2,2,2,3,2,1,1,13,3,3,2,3,9,1
33,0,0,5,3,2,4,0,3,1,3,3,1,1,0,13,2,0,2,3,0,0
45,0,2,24,4,3,2,1,3,1,6,2,1,1,1,16,1,0,3,3,3,0
28,0,1,15,2,0,1,1,3,1,4,3,2,1,1,16,4,1,5,2,2,2
30,0,1,1,3,0,4,1,1,1,4,3,0,3,1,21,3,2,2,3,2,0
27,0,0,2,3,0,4,1,3,2,2,3,1,1,0,11,1,0,3,3,4,0
45,0,0,2,3,5,4,1,3,2,2,2,0,0,1,19,2,1,3,4,7,3
37,0,1,21,3,0,2,1,4,1,1,1,0,1,0,12,1,1,3,2,7,1
20,2,0,9,3,2,4,0,3,1,3,4,1,1,0,14,2,0,3,3,2,0
41,0,0,4,1,2,3,0,3,3,2,3,2,0,0,13,4,1,3,4,14,13
59,2,0,1,1,0,1,0,2,2,2,3,1,7,1,11,4,0,2,2,3,1
46,0,0,1,4,0,4,1,4,4,0,1,1,1,1,15,2,0,5,1,0,0
36,0,0,3,4,2,1,0,3,2,2,2,1,3,0,16,4,0,3,3,4,0
35,0,1,16,3,3,1,1,4,1,4,2,0,0,1,13,3,1,5,3,4,0
33,1,1,4,3,1,4,1,3,2,1,2,2,5,1,15,4,2,2,2,8,1
34,0,0,3,2,0,4,0,1,2,2,4,1,5,1,12,1,0,3,3,2,2
31,0,0,16,4,2,1,1,3,3,2,3,0,2,1,13,1,3,2,3,0,0
47,1,1,29,4,0,1,1,3,3,0,2,0,1,0,12,4,1,2,2,7,9
53,0,1,7,2,3,4,0,3,5,0,3,2,3,1,18,2,1,6,3,7,4
33,0,1,5,3,0,4,1,2,3,8,4,2,4,1,15,3,1,2,3,2,1
34,2,1,9,4,0,4,1,3,2,4,1,0,4,1,17,3,1,3,2,1,0
21,2,1,10,2,0,1,0,2,1,4,3,1,1,1,20,3,0,2,1,2,2
36,0,1,8,3,1,3,0,3,3,8,3,2,1,1,13,2,3,2,3,14,12
40,0,1,2,3,0,3,1,3,2,1,4,1,1,1,13,3,0,4,3,8,8
31,0,0,29,4,2,1,0,2,2,2,4,0,1,1,14,1,2,3,3,7,5
32,0,1,5,4,0,4,1,2,2,5,4,1,8,1,24,2,0,1,3,0,0
30,0,0,29,4,1,3,1,3,3,2,2,0,3,1,12,2,1,3,3,2,1
38,2,1,2,2,0,4,1,3,1,4,4,0,1,0,23,3,1,3,3,0,0
47,1,0,2,4,2,3,1,3,2,2,2,0,7,1,11,4,1,3,1,0,0
36,0,1,2,4,3,3,1,3,1,4,3,1,4,1,21,3,0,6,3,8,3
31,2,0,20,3,0,3,1,4,1,3,4,0,0,1,12,1,1,4,3,2,2
29,0,0,27,3,2,2,0,3,3,2,4,0,1,1,22,4,3,3,2,4,1
33,2,0,10,3,2,2,1,2,2,2,4,1,3,1,14,3,0,6,2,7,0
35,0,1,2,3,0,3,1,2,3,5,2,2,2,1,18,2,1,2,4,7,6
36,0,1,10,3,0,4,1,3,3,8,1,0,7,0,13,4,1,1,3,8,5
50,2,2,3,3,3,1,1,3,5,0,2,0,1,1,11,3,1,2,3,5,10
32,0,0,1,2,0,1,1,1,2,2,2,1,6,1,15,2,0,2,3,0,0
25,0,1,2,1,3,1,1,4,1,1,1,1,7,1,13,3,0,3,2,3,0
40,2,1,11,3,1,4,0,3,2,4,3,0,1,1,11,1,1,2,4,9,9
48,0,1,20,4,3,4,1,3,1,1,3,0,4,1,17,1,2,2,2,0,0
46,0,0,2,3,2,3,0,3,4,0,1,0,8,1,23,1,0,2,3,15,15
26,0,1,23,3,0,1,0,3,1,1,4,2,1,1,22,2,2,3,1,2,0
34,2,2,11,3,0,3,1,2,2,6,2,0,4,1,11,4,2,5,4,9,1
35,0,1,2,3,0,1,0,3,1,4,1,2,1,0,12,4,1,2,3,0,0
27,0,0,23,1,3,2,0,2,2,3,3,0,1,1,21,4,1,5,3,8,5
41,0,2,10,4,4,2,1,2,5,0,4,2,3,1,15,2,3,2,2,6,12
51,2,0,9,3,0,4,1,3,5,0,2,2,4,0,24,1,1,5,2,10,11
23,0,1,10,1,3,1,1,4,1,1,3,1,1,1,18,4,0,3,3,2,0
35,2,1,4,4,0,3,1,3,2,1,3,1,1,0,11,2,0,3,3,6,1
34,2,1,2,2,0,4,1,3,2,5,3,1,2,1,11,4,0,3,2,2,0
33,0,2,3,2,4,4,1,3,1,6,2,2,3,0,11,3,1,4,4,3,0
25,0,0,8,3,0,4,1,4,2,2,2,0,0,1,22,3,1,4,3,2,1
45,0,1,25,2,0,2,0,2,2,5,4,0,0,1,13,4,2,2,2,8,3
40,0,1,2,4,3,3,0,3,1,1,3,0,2,1,14,2,3,2,3,3,0
20,0,1,10,1,3,4,1,3,1,1,3,1,1,0,11,4,0,5,3,0,1
27,0,1,11,1,0,2,1,3,1,4,1,0,0,1,14,2,0,3,4,0,1
37,0,1,1,4,0,2,0,3,2,5,2,0,6,1,12,2,1,2,2,5,4
38,2,1,1,3,0,4,1,3,2,1,4,0,7,1,15,4,2,4,4,11,2
50,2,0,12,3,2,3,0,3,3,2,4,1,4,1,11,4,0,3,3,2,2
29,0,1,21,4,0,2,0,4,3,5,1,2,1,1,11,3,1,1,3,9,8
24,0,1,17,2,0,4,0,3,1,4,2,0,1,1,13,1,1,3,1,0,0
28,0,0,26,3,0,3,1,2,2,2,1,0,1,1,11,3,1,0,3,3,0
33,0,1,15,1,3,2,1,3,3,0,3,0,7,0,12,4,0,2,4,6,7
27,2,2,22,3,4,1,0,2,1,6,2,0,1,1,12,1,0,2,3,0,0
24,0,1,17,2,5,4,1,2,1,4,2,0,1,1,21,4,1,2,3,0,0
29,0,1,4,3,1,4,0,2,1,1,1,2,1,1,13,3,1,2,3,0,0
41,0,0,2,5,0,2,0,3,4,0,1,0,7,1,16,2,1,2,3,16,11
34,2,1,19,3,3,3,0,3,2,4,2,2,4,1,13,3,2,2,4,8,5
34,0,0,1,3,2,1,1,3,3,2,4,1,1,1,21,1,0,3,2,8,2
29,0,1,13,2,5,4,1,2,2,4,2,0,4,0,13,1,1,2,3,3,0
41,1,1,7,1,0,2,0,1,5,7,3,2,1,1,22,2,2,3,3,16,5
40,0,1,1,3,0,3,0,3,2,8,4,2,4,1,17,4,1,3,3,3,0
26,0,1,1,2,3,1,1,2,1,4,1,0,1,1,16,1,2,2,3,3,1
32,2,1,10,3,0,1,1,3,1,1,3,0,6,1,13,1,1,3,2,2,1
34,0,1,6,4,5,1,0,3,2,1,3,1,1,1,14,3,0,3,3,13,2
32,0,1,1,3,3,1,1,3,2,5,4,0,1,0,22,2,1,3,3,8,7
23,0,1,10,3,1,4,1,4,1,1,3,0,2,1,16,4,1,2,3,2,2
34,0,0,7,2,1,2,1,3,1,3,3,0,0,0,25,2,1,4,3,10,5
50,0,1,11,3,0,3,0,3,5,0,2,1,3,1,15,2,0,5,3,4,4
36,1,1,1,4,3,4,0,2,2,5,3,0,0,1,15,3,0,6,3,2,1
50,0,1,24,3,0,4,1,3,4,5,3,0,3,0,18,4,1,2,3,11,1
29,1,0,2,3,0,4,1,3,2,2,3,0,1,1,14,1,1,3,2,3,0
33,0,1,14,3,3,4,0,3,1,1,2,0,1,1,13,4,1,5,3,7,1
37,0,1,10,3,3,2,0,3,1,1,2,0,1,1,11,1,1,2,1,4,7
29,0,1,23,3,0,4,1,3,1,1,4,1,9,1,16,4,0,4,3,2,1
36,2,0,11,2,1,2,0,3,3,2,4,0,0,1,14,3,1,6,3,7,2
32,2,0,10,4,2,4,1,3,2,2,4,1,8,1,13,3,0,2,4,0,0
29,0,1,15,3,0,3,1,3,1,1,4,1,1,1,19,1,0,1,3,5,1
36,0,1,2,4,0,3,0,3,2,5,2,1,9,0,11,4,0,2,3,14,5
45,2,1,7,3,0,1,1,3,3,4,1,2,1,1,18,1,1,2,3,9,9
28,0,0,10,1,3,4,1,3,1,3,2,0,1,1,22,2,0,5,3,0,0
43,2,1,21,3,3,4,1,3,1,4,4,0,7,1,20,1,1,1,3,2,1
36,1,0,1,5,3,4,0,3,2,2,4,1,4,1,15,2,0,6,3,0,0
46,0,0,2,3,1,3,0,1,4,0,2,0,3,0,12,2,1,2,2,7,7
36,2,0,3,4,3,1,1,2,3,2,4,0,4,1,11,1,1,2,3,9,1
42,0,2,10,3,4,3,0,3,4,0,1,0,0,1,14,3,1,5,3,7,0
24,0,0,4,1,3,4,0,3,2,2,3,0,1,0,12,3,2,3,3,4,0
34,0,0,3,1,3,4,0,2,2,2,4,0,3,0,12,3,0,3,2,2,0
39,0,1,19,4,5,4,1,3,2,1,4,2,8,1,14,2,3,2,3,2,2
39,0,0,15,4,2,2,1,3,4,2,1,1,0,1,12,1,0,3,3,8,11
32,0,1,5,2,0,1,1,4,1,1,2,2,0,0,12,4,2,5,2,2,0
31,0,1,8,5,0,1,0,3,4,7,2,1,3,1,11,3,0,3,4,2,1
39,1,1,25,2,0,3,1,3,3,8,3,0,3,1,21,2,1,2,3,4,0
35,0,1,1,4,3,4,1,2,1,4,3,0,6,1,12,2,1,2,3,0,1
32,0,1,2,3,3,3,0,3,1,4,2,0,1,1,13,3,1,4,3,0,0
38,0,1,17,1,0,3,0,2,3,8,3,0,0,1,18,1,1,4,2,9,1
38,0,0,10,2,0,1,0,3,2,2,4,0,1,1,11,3,1,1,3,7,1
36,0,0,10,4,1,2,0,2,2,2,3,0,1,0,13,1,1,4,3,9,1
37,0,0,1,4,0,1,1,2,3,2,3,0,5,1,11,3,0,2,1,1,11
27,1,1,3,3,3,4,1,3,1,1,4,0,1,1,11,3,3,6,2,0,0
28,1,0,4,3,3,2,1,3,2,2,3,0,1,1,15,2,0,3,4,4,0
35,0,1,16,3,0,4,0,2,3,8,2,1,1,1,19,4,0,3,1,8,3
35,0,0,27,3,0,3,1,3,2,2,4,1,1,0,18,4,0,2,3,7,7
35,2,1,2,3,3,2,0,3,2,4,2,1,5,1,11,4,0,5,3,2,1
50,0,1,1,3,3,3,1,2,1,4,3,0,2,1,15,4,1,2,2,2,0
37,0,1,10,4,3,4,1,3,2,5,1,1,1,1,15,2,0,4,1,3,0
40,0,1,1,4,0,1,1,3,1,4,4,0,8,1,19,3,2,3,2,0,0
42,0,0,14,2,3,3,0,2,2,2,3,1,7,1,17,1,0,6,3,4,0
38,0,1,18,3,3,2,1,1,2,8,4,0,3,0,16,3,1,2,3,0,1
40,2,0,5,4,0,4,1,2,3,2,1,0,5,0,21,3,1,2,3,13,1
19,0,0,21,3,5,4,1,2,1,3,2,1,1,0,13,2,0,3,4,0,0
35,0,1,1,3,3,2,1,2,1,1,3,1,1,1,18,1,0,3,3,4,0
32,0,1,5,4,5,2,0,4,1,1,4,0,3,1,17,4,2,3,3,2,0
25,0,0,4,2,0,2,0,2,2,2,4,1,1,0,11,2,0,3,3,4,1
25,1,1,5,2,0,2,1,4,2,8,1,2,1,1,12,4,2,2,3,3,1
37,0,1,14,3,0,4,0,3,1,4,1,2,1,1,12,3,1,2,2,7,12
37,0,0,9,2,2,2,1,2,2,2,2,0,1,1,14,1,2,2,3,2,0
31,0,0,20,3,0,2,0,1,2,2,3,0,3,0,11,3,1,2,3,2,2
29,0,0,2,3,3,1,1,2,2,2,2,0,2,1,19,2,2,2,3,0,0
37,0,1,11,2,3,1,0,1,2,8,2,0,5,1,15,1,0,2,1,0,0
23,0,0,7,3,0,3,1,3,1,3,4,2,1,0,21,2,1,2,3,2,0
30,0,1,2,3,0,3,1,2,2,8,4,0,1,1,19,1,3,3,3,10,10
40,2,0,2,4,3,2,1,3,2,2,2,0,5,1,12,4,3,2,3,0,0
38,2,1,2,4,0,1,0,4,2,5,1,1,6,0,12,4,0,2,3,7,4
32,2,1,2,2,0,4,0,3,2,1,3,1,4,0,14,4,0,2,3,7,0
44,0,1,7,3,3,2,0,3,5,7,4,2,0,0,14,4,1,4,2,7,1
37,2,1,9,3,3,2,1,3,1,1,4,0,1,0,12,3,3,3,2,2,1
38,1,0,2,2,0,4,1,2,2,2,4,0,3,1,18,4,1,0,3,7,7
36,0,1,16,4,0,3,0,4,1,4,1,1,1,1,16,3,0,1,3,13,15
51,2,0,2,3,2,2,1,3,3,2,2,0,2,1,11,2,0,5,3,2,3
37,2,0,1,4,3,3,1,1,2,2,4,2,1,1,14,3,2,2,2,3,1
35,0,1,9,4,3,2,1,3,2,1,3,1,1,1,19,2,0,5,3,7,0
25,0,1,3,3,3,1,1,3,1,4,1,0,5,1,13,3,1,5,3,2,0
42,0,1,2,4,5,1,1,2,2,8,4,1,3,1,23,2,0,6,3,0,0
32,0,1,1,3,0,4,1,2,1,4,3,1,0,0,14,4,0,2,1,2,1
36,2,1,3,3,1,3,1,3,1,1,2,0,1,1,12,3,0,2,2,10,0
45,2,1,25,3,3,2,0,3,5,0,2,1,3,1,22,3,0,4,3,0,0
44,1,1,5,3,0,3,1,2,1,4,3,1,3,1,14,4,0,5,3,2,0
26,0,1,4,2,0,3,1,3,1,1,4,1,1,0,20,2,0,2,2,5,2
39,0,2,2,3,0,4,0,2,2,6,4,0,8,1,11,3,2,2,3,4,0
36,0,1,15,3,5,1,1,3,2,4,3,2,7,1,14,2,1,3,2,0,0
39,1,1,9,3,0,4,1,3,5,0,4,1,2,1,13,3,0,3,2,0,1
26,2,2,17,4,0,2,0,3,1,6,3,2,0,0,11,2,1,2,2,7,1
51,2,1,1,4,3,1,0,2,3,8,1,1,3,1,20,3,0,1,2,12,12
36,0,1,26,4,0,1,1,3,2,8,3,0,6,1,14,2,2,2,2,2,0
46,0,1,2,2,0,4,1,3,3,5,4,2,3,1,14,3,1,4,2,8,4
31,0,1,11,4,0,4,1,3,1,1,4,0,3,0,19,2,1,2,3,4,0
40,0,1,15,3,0,1,0,2,3,5,3,0,1,1,13,4,2,2,3,15,14
34,0,1,1,5,0,2,1,3,1,1,4,0,1,1,12,4,1,4,2,9,8
34,0,2,3,2,4,3,1,3,1,6,4,0,0,1,19,3,1,1,1,2,0
29,2,1,2,1,0,4,0,3,1,4,2,0,0,1,13,3,3,3,3,2,0
35,0,1,14,4,5,3,1,2,1,4,2,2,1,0,24,4,1,2,1,2,0
24,0,1,9,3,3,3,1,4,1,1,3,0,1,1,16,4,1,1,3,3,0
